Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
JSLG3	21,40	23,18	3,43	0,482	0,71%	0,217	1,02	4,06	-0,51	6,64	11,88%	2,82%	1,85	9,00%	14,79%	8.786.410,00	1.290.550.000,00	11,34	11,21%
AGRO3	16,73	23,53	1,01	1,807	5,55%	0,646	4,58	9,26	-13,48	9,73	19,52%	15,38%	1,81	8,17%	4,31%	705.126,00	938.852.000,00	0,41	11,76%
HAGA3	3,61	23,83	-0,53	1,820	0,00%	0,751	1,96	-14,84	-0,47	-40,60	-12,27%	7,64%	1,90	-14,07%	-2,22%	3.674,50	-81.209.100,00	-0,55	-7,15%
CVCB3	39,00	24,07	4,24	2,938	1,12%	0,839	3,49	8,25	-11,26	8,23	35,63%	11,56%	1,49	12,21%	17,62%	111.328.000,00	1.370.930.000,00	1,13	19,00%
UCAS3	4,90	24,48	1,77	2,209	0,00%	1,415	3,64	27,78	4,09	12,64	7,95%	9,02%	3,45	7,38%	7,24%	846.888,00	182.761.000,00	0,00	-11,23%
LCAM3	17,00	25,00	2,81	1,717	1,82%	0,818	66,93	9,95	-1,71	9,38	17,24%	6,87%	1,06	11,38%	11,22%	29.135.500,00	2.712.690.000,00	1,67	61,88%
JPSA3	31,74	25,28	1,84	3,746	1,25%	0,512	3,87	7,26	-1,86	8,52	51,61%	33,48%	3,94	8,16%	7,26%	6.363.250,00	1.519.490.000,00	1,49	4,17%
MOVI3	16,58	25,36	2,20	1,440	1,99%	0,660	55,92	10,98	-1,89	10,10	13,12%	5,68%	1,03	10,55%	8,69%	26.179.700,00	2.247.810.000,00	1,49	23,04%
AFLT3	12,99	25,65	3,78	20,027	0,00%	3,600	11,45	26,01	12,78	24,39	77,00%	78,08%	22,45	18,11%	14,73%	257.728,00	216.847.000,00	0,01	35,75%
GPIV33	6,99	25,65	0,57	3,036	0,00%	0,226	1,11	4,32	9,35	0,35	70,35%	39,14%	11,58	6,63%	2,22%	300.622,00	1.345.380.000,00	0,00	-21,47%
FLRY3	26,61	26,81	4,85	2,968	3,81%	1,773	20,48	15,81	-4,56	10,74	18,77%	11,07%	1,54	12,90%	18,10%	39.139.300,00	1.737.100.000,00	0,62	11,62%
BMKS3	249,00	28,09	0,60	6,421	3,37%	0,517	0,71	-18,88	0,83	6,33	-34,02%	22,86%	26,48	-8,75%	2,14%	4.378,19	188.600.000,00	0,05	-10,88%
PRIO3	19,24	28,23	2,25	2,035	0,00%	0,608	-11,05	6,15	-1,22	7,45	33,06%	7,21%	0,81	11,82%	7,97%	19.188.500,00	1.225.290.000,00	1,07	47,40%
ODPV3	15,85	28,99	7,84	4,712	2,98%	4,837	32,31	16,87	77,03	15,16	27,94%	16,34%	1,51	40,95%	27,06%	22.291.600,00	1.073.730.000,00	0,00	9,29%
IGTA3	46,00	29,61	2,75	10,926	1,85%	1,525	11,66	19,96	-5,60	18,16	54,73%	37,46%	4,19	8,79%	9,30%	52.536.200,00	2.949.110.000,00	0,74	4,11%
PNVL3	535,10	30,24	4,85	0,955	1,06%	1,787	7,07	11,35	-59,83	9,69	8,42%	3,16%	1,73	20,66%	16,03%	335.279,00	498.578.000,00	0,94	6,46%
FRIO3	66,00	30,34	5,46	0,190	0,00%	0,177	4,39	4,77	-0,77	8,86	3,98%	2,82%	1,06	6,77%	17,99%	1.895,21	49.651.000,00	19,66	8,63%
SCAR3	40,89	34,03	1,60	7,610	0,90%	0,853	12,20	12,52	-2,39	14,60	60,77%	22,60%	2,92	7,42%	4,70%	1.437.740,00	1.475.840.000,00	0,83	-6,49%
AMAR3	10,10	37,30	2,45	0,738	0,00%	0,591	4,50	8,85	-2,86	6,84	8,34%	0,52%	1,31	8,24%	6,58%	13.027.700,00	840.223.000,00	1,92	-3,70%
ARZZ3	60,01	37,45	7,68	3,361	2,59%	3,922	11,71	31,66	20,35	21,88	10,62%	8,97%	1,97	17,82%	20,51%	25.727.800,00	710.655.000,00	0,27	10,00%
BMIN3	16,60	39,07	0,67	0,000	0,24%	0,000	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	1,70%	39,52	120.283.000,00	0,00	-5,99%
BKBR3	15,90	39,61	2,07	1,303	1,12%	1,235	-87,43	30,23	-4,77	9,45	4,31%	3,29%	0,91	4,69%	5,22%	18.249.900,00	1.755.120.000,00	0,08	29,25%
DOHL4	7,69	42,26	0,81	0,941	2,86%	0,632	1,57	39,67	2,32	16,18	2,37%	2,23%	5,57	1,79%	1,91%	54.693,90	575.310.000,00	0,06	6,02%
BMIN4	18,50	43,54	0,74	0,000	7,57%	0,000	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	1,70%	2.269,60	120.283.000,00	0,00	-5,99%
LOGG3	26,40	43,64	1,17	22,192	0,38%	0,788	24,92	28,19	-3,09	37,16	78,73%	54,17%	1,83	2,90%	2,69%	6.874.300,00	2.298.080.000,00	0,43	6,82%
AALR3	18,60	43,70	1,71	2,057	0,45%	0,891	77,30	17,39	-3,24	11,85	11,83%	5,67%	1,07	5,46%	3,91%	3.373.780,00	1.287.910.000,00	0,50	-0,55%
BALM4	11,00	44,05	1,05	0,717	1,27%	0,555	1,82	10,30	3,14	9,49	6,96%	1,29%	2,02	6,01%	2,39%	2.455,90	102.201.000,00	0,29	5,61%
OFSA3	37,60	50,33	4,24	3,390	0,85%	2,316	9,25	28,37	64,81	23,27	11,95%	6,74%	2,05	9,58%	8,43%	455.238,00	478.261.000,00	0,63	4,47%
RLOG3	21,71	51,24	4,33	1,422	0,00%	0,317	10,30	4,97	-0,52	5,22	28,64%	10,10%	1,34	6,77%	8,46%	7.664.480,00	2.320.640.000,00	4,70	21,00%
POSI3	5,90	52,66	0,99	0,268	0,00%	0,276	1,61	4,10	4,71	4,79	6,54%	0,67%	1,28	11,41%	1,88%	2.710.070,00	524.611.000,00	1,21	0,41%
ALPA3	24,45	62,70	5,67	3,463	0,00%	3,297	10,92	29,95	21,32	22,40	11,56%	4,98%	2,18	14,00%	9,05%	74.162,40	2.535.080.000,00	0,17	-0,54%
TASA3	4,84	70,73	-1,34	0,451	0,00%	0,395	5,09	6,36	-0,67	12,68	7,10%	0,64%	1,12	7,24%	-1,89%	645.747,00	-320.169.000,00	-2,40	4,61%
TASA4	4,97	72,63	-1,37	0,463	0,00%	0,405	5,22	6,53	-0,69	12,81	7,10%	0,64%	1,12	7,24%	-1,89%	4.151.140,00	-320.169.000,00	-2,40	4,61%
ALPA4	29,11	74,65	6,75	4,123	0,00%	3,925	13,01	35,66	25,38	26,70	11,56%	4,98%	2,18	14,00%	9,05%	26.839.000,00	2.535.080.000,00	0,17	-0,54%
LOGN3	18,91	87,08	-3,41	1,088	0,00%	0,884	29,87	10,50	-0,89	9,60	10,36%	1,25%	1,13	9,94%	-3,91%	7.724.750,00	-330.625.000,00	-3,89	-0,37%
GNDI3	57,00	95,69	11,52	3,969	0,26%	3,203	88,79	37,00	-7,85	30,28	10,73%	5,44%	1,13	10,85%	12,04%	175.024.000,00	2.665.060.000,00	0,92	0,00%
AZUL4	50,49	103,00	-26,76	1,617	0,00%	0,927	-8,60	11,49	-1,14	6,99	14,07%	1,57%	0,67	9,52%	-25,98%	130.453.000,00	-644.791.000,00	-5,27	20,34%
JOPA4	24,50	104,37	0,52	0,214	2,91%	0,139	0,42	12,93	-28,25	22,80	1,66%	0,75%	2,09	1,43%	0,50%	408,33	494.790.000,00	1,96	2,52%
JOPA3	25,00	106,50	0,53	0,219	2,60%	0,142	0,43	13,19	-28,82	22,95	1,66%	0,75%	2,09	1,43%	0,50%	116,67	494.790.000,00	1,96	2,52%
TOTS3	65,52	110,08	5,12	5,498	0,39%	3,508	9,89	18,86	13,83	14,29	29,15%	5,01%	2,66	32,57%	4,65%	97.982.800,00	2.466.200.000,00	0,19	5,17%
LINX3	29,97	121,57	3,11	7,584	0,54%	2,194	5,32	34,43	9,53	18,14	22,03%	6,24%	4,68	11,03%	2,56%	42.009.100,00	1.825.340.000,00	0,18	15,22%
BIDI3	14,61	134,04	4,69	0,000	0,12%	0,000	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	3,50%	4.331.040,00	2.188.220.000,00	0,00	0,00%
BIDI4	14,68	134,68	4,71	0,000	0,46%	0,000	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	3,50%	39.611.700,00	2.188.220.000,00	0,00	0,00%
BIDI11	44,70	136,70	4,79	0,000	0,12%	0,000	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	3,50%	52.291.700,00	2.188.220.000,00	0,00	0,00%
MEAL3	6,96	170,22	1,43	0,871	7,86%	0,634	5,00	31,15	-2,19	12,37	2,80%	0,51%	1,91	2,55%	0,84%	5.633.740,00	954.646.000,00	0,54	0,13%
